transaction_id,matched_address_id,confidence_score,match_type
none-323-south-5th-street-unit-2-brooklyn-ny-11211,3189.0,1.0,exact
none-465-humboldt-street-none-williamsburg-ny-11211,26439.0,1.0,exact
none-withers-street-unit-2a-brooklyn-ny-11211,11.0,0.739130437374115,fuzzy_prefix_block
none-north-7th-street-unit-phb-brooklyn-ny-11211,1096.0,0.6,phonetic
none-30-bushwick-avenue-unit-1a-brooklyn-ny-11211,1073.0,0.6,phonetic
none-323-south-5th-street-unit-1-brooklyn-ny-11211,11612.0,0.8654971122741699,fuzzy_prefix_block
none-179-jackson-street-unit-5-brooklyn-ny-11211,19263.0,0.8841991424560547,fuzzy_prefix_block
none-179-jackson-street-unit-5a-brooklyn-ny-11211,19263.0,0.844861626625061,fuzzy_prefix_block
none-256-withers-street-unit-6fam-brooklyn-ny-11211,24644.0,0.7612179517745972,fuzzy_prefix_block
none-432-grand-street-unit-201-brooklyn-ny-11211,5548.0,0.865424394607544,fuzzy_prefix_block
none-manhattan-avenue-unit-2-brooklyn-ny-11211,152.0,0.6,phonetic
none-hope-street-unit-pha-brooklyn-ny-11211,25322.0,0.6,phonetic
none-withers-street-unit-5e-brooklyn-ny-11211,8665.0,0.6,phonetic
none-bushwick-avenue-unit-2b-brooklyn-ny-11211,425.0,0.6,phonetic
none-devoe-street-unit-na-brooklyn-ny-11211,18516.0,0.6,phonetic
none-north-6th-street-unit-1-brooklyn-ny-11211,311.0,0.6,phonetic
none-jackson-street-unit-1b-brooklyn-ny-11211,4099.0,0.6,phonetic
none-74-jackson-street-unit-5-brooklyn-ny-11211,1620.0,0.6,phonetic
none-170-south-4th-street-none-brooklyn-ny-11211,515.0,0.6,phonetic
none-south-4th-street-unit-4a-brooklyn-ny-11211,4977.0,0.6,phonetic
none-north-10th-street-unit-3a-brooklyn-ny-11211,16927.0,0.6,phonetic
none-union-avenue-unit-4d-5d-brooklyn-ny-11211,,,
none-218-north-5th-street-none-brooklyn-ny-11211,3426.0,0.6,phonetic
none-bayard-street-unit-2d-brooklyn-ny-11211,3449.0,0.6,phonetic
none-jackson-street-unit-2-brooklyn-ny-11211,5452.0,0.6,phonetic
none-manhattan-avenue-unit-4f-brooklyn-ny-11211,26869.0,0.6,phonetic
none-south-5th-street-unit-c1-brooklyn-ny-11211,1162.0,0.6,phonetic
none-union-avenue-unit-3c-brooklyn-ny-11211,2575.0,0.6,phonetic
none-bushwick-avenue-unit-6b-brooklyn-ny-11211,11443.0,0.6,phonetic
none-bushwick-avenue-unit-4b-brooklyn-ny-11211,2542.0,0.6,phonetic
none-30-bushwick-avenue-unit-5a-brooklyn-ny-11211,3293.0,0.6,phonetic
none-roebling-street-unit-1-brooklyn-ny-11211,791.0,0.6,phonetic
none-70-conselyea-street-none-brooklyn-ny-11211,1770.0,0.6,phonetic
none-south-8th-street-unit-1a-brooklyn-ny-11211,639.0,0.6,phonetic
none-390-manhattan-avenue-unit-ph-brooklyn-ny-11211,199.0,0.6,phonetic
none-217-219-devoe-street-none-brooklyn-ny-11211,1160.0,0.6,phonetic
none-96-woodpoint-road-unit-3a-brooklyn-ny-11211,27629.0,0.7513043880462646,fuzzy_prefix_block
none-north-8th-street-none-brooklyn-ny-11211,191.0,0.6,phonetic
none-jackson-street-unit-5-brooklyn-ny-11211,1620.0,0.6,phonetic
none-74-jackson-street-unit-garden-brooklyn-ny-11211,,,
