transaction_id,raw_address,unmatch_reason
none-south-8th-street-unit-1a-brooklyn-ny-11211-0_0,"South 8th Street Unit 1A, Brooklyn, NY 11211",no exact match found
none-north-11th-street-unit-1l-brooklyn-ny-11211_38,"North 11th Street Unit 1L, Brooklyn, NY 11211",no exact match found
none-manhattan-avenue-unit-2-brooklyn-ny-11211_38,"Manhattan Avenue Unit 2, Brooklyn, NY 11211",no exact match found
none-hope-street-unit-pha-brooklyn-ny-11211_38,"Hope Street Unit PHA, Brooklyn, NY 11211",no exact match found
none-union-avenue-unit-4d-5d-brooklyn-ny-11211_38,"Union Avenue Unit 4D/5D, Brooklyn, NY 11211",no exact match found
none-south-4th-street-unit-4a-brooklyn-ny-11211_38,"South 4th Street Unit 4A, Brooklyn, NY 11211",no exact match found
none-north-10th-street-unit-3a-brooklyn-ny-11211_38,"North 10th Street Unit 3A, Brooklyn, NY 11211",no exact match found
none-union-avenue-none-brooklyn-ny-11211_38,"Union Avenue NaN, Brooklyn, NY 11211",no exact match found
none-withers-street-unit-5e-brooklyn-ny-11211_38,"Withers Street Unit 5E, Brooklyn, NY 11211",no exact match found
none-jackson-street-unit-ph-brooklyn-ny-11211_0,"Jackson Street Unit PH, Brooklyn, NY 11211",no exact match found
none-skillman-avenue-unit-1a-brooklyn-ny-11211_38,"Skillman Avenue Unit 1A, Brooklyn, NY 11211",no exact match found
none-north-11th-street-unit-4w-brooklyn-ny-11211_38,"North 11th Street Unit 4W, Brooklyn, NY 11211",no exact match found
none-havemeyer-street-unit-6a-brooklyn-ny-11211_38,"Havemeyer Street Unit 6A, Brooklyn, NY 11211",no exact match found
none-union-avenue-unit-3c-brooklyn-ny-11211_38,"Union Avenue Unit 3C, Brooklyn, NY 11211",no exact match found
none-havemeyer-street-none-brooklyn-ny-11211-0_38,"Havemeyer Street NaN, Brooklyn, NY 11211",no exact match found
none-havemeyer-street-none-brooklyn-ny-11211_38,"Havemeyer Street NaN, Brooklyn, NY 11211",no exact match found
none-jackson-street-unit-3b-brooklyn-ny-11211_38,"Jackson Street Unit 3B, Brooklyn, NY 11211",no exact match found
none-north-8th-street-unit-ph-brooklyn-ny-11211_38,"North 8th Street Unit PH, Brooklyn, NY 11211",no exact match found
none-skillman-avenue-unit-4f-brooklyn-ny-11211_3,"Skillman Avenue Unit 4F, Brooklyn, NY 11211",no exact match found
none-skillman-avenue-unit-1a-brooklyn-ny-11211-0_38,"Skillman Avenue Unit 1A, Brooklyn, NY 11211",no exact match found
none-skillman-avenue-unit-3-brooklyn-ny-11211-0_38,"Skillman Avenue Unit 3, Brooklyn, NY 11211",no exact match found
none-jackson-street-unit-ph-brooklyn-ny-11211-0_38,"Jackson Street Unit PH, Brooklyn, NY 11211",no exact match found
none-north-8th-street-none-brooklyn-ny-11211-0_3,"North 8th Street NaN, Brooklyn, NY 11211",no exact match found
none-lorimer-street-unit-1-brooklyn-ny-11211_38,"Lorimer Street Unit 1, Brooklyn, NY 11211",no exact match found
none-skillman-avenue-unit-3b-brooklyn-ny-11211_38,"Skillman Avenue Unit 3B, Brooklyn, NY 11211",no exact match found
none-north-11th-street-unit-4w-brooklyn-ny-11211-0_38,"North 11th Street Unit 4W, Brooklyn, NY 11211",no exact match found
none-grand-street-none-brooklyn-ny-11211-0_38,"Grand Street NaN, Brooklyn, NY 11211",no exact match found
none-maspeth-avenue-unit-7c-brooklyn-ny-11211_38,"Maspeth Avenue Unit 7C, Brooklyn, NY 11211",no exact match found
none-manhattan-avenue-unit-4r-brooklyn-ny-11211_39,"Manhattan Avenue Unit 4R, Brooklyn, NY 11211",no exact match found
none-jackson-street-unit-3-brooklyn-ny-11211_39,"Jackson Street Unit 3, Brooklyn, NY 11211",no exact match found
none-union-avenue-unit-206-brooklyn-ny-11211_39,"Union Avenue Unit 206, Brooklyn, NY 11211",no exact match found
none-skillman-avenue-unit-1-brooklyn-ny-11211_39,"Skillman Avenue Unit 1, Brooklyn, NY 11211",no exact match found
none-withers-street-unit-ph3-brooklyn-ny-11211_4,"Withers Street Unit PH3, Brooklyn, NY 11211",no exact match found
none-manhattan-avenue-unit-4r-brooklyn-ny-11211_40,"Manhattan Avenue Unit 4R, Brooklyn, NY 11211",no exact match found
none-withers-street-unit-2-brooklyn-ny-11211_40,"Withers Street Unit 2, Brooklyn, NY 11211",no exact match found
rplu-10325230448-174-north-6th-street-none-brooklyn-ny-11211_40,"174 North 6th Street NaN, Brooklyn, NY 11211",no exact match found
none-skillman-avenue-unit-4f-brooklyn-ny-11211_40,"Skillman Avenue Unit 4F, Brooklyn, NY 11211",no exact match found
none-skillman-avenue-unit-3-brooklyn-ny-11211_40,"Skillman Avenue Unit 3, Brooklyn, NY 11211",no exact match found
none-metropolitan-avenue-unit-5h-brooklyn-ny-11211_40,"Metropolitan Avenue Unit 5H, Brooklyn, NY 11211",no exact match found
none-south-5th-street-unit-3-brooklyn-ny-11211_40,"South 5th Street Unit 3, Brooklyn, NY 11211",no exact match found
none-north-11th-street-unit-1l-brooklyn-ny-11211_40,"North 11th Street Unit 1L, Brooklyn, NY 11211",no exact match found
none-union-avenue-unit-5c-brooklyn-ny-11211_4,"Union Avenue Unit 5C, Brooklyn, NY 11211",no exact match found
